PM2.5 (ug/m3),NO (mg/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),Ozone (ug/m3),Air_Quality_Index(AQI),AQI Category,Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),T,TM,Tm,SLP,H,VV,V,VM
76.45,5.09,15.89,12.52,12.45,26.18,152,2,1.01,2.16,17.17,77.82,2.38,161.08,16.98,17.9,25,9,1015.5,74,1.6,3.1,9.4
78.08,7.18,17.79,15.2,10.81,24.39,159,2,0.44,5.27,14.87,56.08,1.15,313.18,63.51,16.5,25.1,13.2,1012.4,96,1.6,16.9,46.9
151.53,44.83,24.12,48.69,17.8,17.52,324,4,0.33,10.58,14.46,61.38,0.72,239.84,66.12,14.9,20.4,7,1017.2,72,2.1,9.4,18.3
191.1,54.16,27.9,58.16,20.91,19.95,354,4,0.66,11.88,15.41,58.04,0.54,202.82,64.8,14.8,20.6,8.4,1019.5,71,2.6,11.3,18.3
186.56,45.5,31.68,53.25,19.43,30.71,350,4,5.6,15.94,16.37,56.69,0.55,151.16,51.1,14.8,22,6,1020.1,74,1.8,8.3,24.1
145.35,37.9,38.87,50.99,26.39,32.28,319,4,9.65,21.09,17.47,52.75,0.69,150.75,56.55,15.6,22,7,1020.6,71,1.9,6.3,13
127.15,11.71,34.07,27.49,26.19,22.46,305,4,3.76,9.74,17.34,61.89,1.41,145.13,39.32,17.5,23.2,10.6,1021.4,75,1.1,2.8,9.4
93.71,14.76,21.82,23.41,20.13,20.59,207,3,1.05,5.69,16.94,61.15,1.22,222.35,49.75,19.3,25,11.4,1017.8,70,1.6,4.6,14.8
106.95,6.34,13.52,12.26,22,19.1,252,3,0.75,3.74,15.83,76.37,1.16,275.99,39.12,17.7,25.3,13.9,1015.2,88,1.4,11.3,33.5
178.61,7.27,17.98,15.38,23.57,9.55,344,4,0.44,2.75,14.5,87.71,0.79,301.87,7.35,17.6,23,11.8,1016.4,83,1.8,8.1,18.3
120.69,22.97,23.79,28.82,19.78,28.14,300,3,2.84,6.54,17.32,48.97,1.23,159.81,61.69,16,22,12,1016.4,87,1,7.2,11.1
91.36,8.01,18.16,16.07,28.94,28.26,201,3,0.42,4.25,17.61,63.68,0.79,178.09,69.95,16.8,22,10.5,1013.4,76,1.4,9.4,22.2
117.01,20.99,35.65,35.75,30.92,18.96,289,3,11,25.47,17.66,67.72,0.94,119.21,35.3,18.4,26,11.2,1008.1,70,2.1,8.1,24.1
59.36,15.17,20.96,23.29,28.44,28.53,98,1,1.44,8.34,18.9,50.06,1.27,144.25,65.68,18.7,25.8,12,1014.3,78,1.9,5,14.8
82.07,24.07,17.28,28.44,31.89,20.02,172,2,1.53,7.57,18.33,63.84,1.37,290.35,57.52,18.3,24.5,14.5,1017.4,86,1.9,5,9.4
56.43,5.81,16.16,13.25,27.88,32.61,93,1,0.54,4.18,16.33,46.56,1.53,313.34,74.32,21.6,28,13.2,1015.9,72,2.9,9.4,16.5
74.02,7.57,20.47,16.95,33.9,33.2,145,2,0.53,4.41,16.88,45.74,0.99,251.65,70.48,19.1,28.1,14.6,1016.4,76,1.9,16.1,31.7
88.92,11.36,27.41,23.67,27.62,36.18,193,2,2.96,10.3,17.18,44.5,0.78,131.63,73.53,17.6,23.4,10.5,1014.4,63,3.1,16.7,35.2
56.85,9.68,25.74,21.43,12.71,28,93,1,0.75,6.03,16.21,48.22,1.24,120.55,47.82,17.6,24,11.4,1011.2,63,3.2,9.4,18.3
46.63,5.89,17.14,13.83,12.93,31.26,77,1,0.89,4.23,15.92,55.1,1.33,96.73,66.23,16.2,23.8,9.2,1010.9,74,1.9,3.7,11.1
77.88,21.19,18.35,26.71,16.99,29.36,155,2,2.77,14.59,15.69,52.32,1.15,195.08,82.96,15.3,25.4,10.3,1011.2,80,1.9,5.6,14.8
75.29,10.59,17.95,18.02,16.08,36.6,148,2,0.49,3.68,16.27,42.06,1.07,172.17,78.89,14.3,21,9.5,1012.2,81,1.9,3.9,11.1
89.33,14.38,30.07,27.5,17.21,18.03,196,2,1.91,9.76,16.28,54.61,0.83,115.35,36.15,14.1,21,6.8,1015.8,74,2.3,7.8,25.9
52.83,6.24,18.35,14.75,14.93,33.08,86,1,0.91,4.01,16.42,67.74,1.3,153.33,91.13,16.3,23.4,6.8,1015.7,66,1.9,4.4,14.8
93.87,33.52,18.38,35.23,25.84,25.52,207,3,4.38,12.9,17.46,70.58,0.88,185.09,86.72,15.2,24.1,12.8,1016.3,91,1.1,5.4,14.8
69.37,7.16,15.1,13.67,35.25,28.88,128,2,0.53,4.16,17.16,60.72,1.31,255.71,104.84,17.1,22.4,12.8,1011.8,87,1.9,3.7,11.1
74.63,10.42,20.21,19.09,26.75,28.33,145,2,0.74,5.12,17.38,49.62,1.01,212.57,101.94,19.7,24,11.2,1009.9,71,1.9,7.4,14.8
84.7,16.34,19.71,23.55,15.45,34.96,179,2,4.86,14.89,18,44.82,0.75,225.57,111.19,18.4,23.9,12,1011.3,66,2.1,8.9,18.3
86.38,19.49,23.59,28.14,13.34,36.84,186,2,20.88,39.54,18.59,43.22,0.99,126.76,90.05,18.2,24,11,1011.8,62,2.6,7.2,18.3
77.97,6.51,17.81,14.39,12.07,29.69,155,2,8.44,21.1,19.48,42.25,1.43,128.29,102.17,19.5,26,9,1012,55,2.7,5.7,16.5
75.84,6.46,19.23,15.4,5.85,42.49,148,2,8.3,19.38,19.59,38.04,1,194.05,105.68,20.4,26.5,10.8,1013.4,60,2.7,5,14.8
89.66,10.29,27.98,23.12,12.98,41.74,196,2,13.11,22.54,20.41,29.48,1.75,159.02,84.33,20.6,26.5,12.6,1014.1,59,3.4,7.8,14.8
87.26,11.66,19.74,19.7,11.31,29.96,189,2,10.41,26.99,20.06,51.66,1.13,169.15,97.33,19.6,27,10.8,1014.2,57,3.4,5.6,14.8
101.53,6.42,22,16.53,17.25,39.1,235,3,11,26.27,19.74,38.55,1.03,74.16,60.27,22.8,28,12.4,1014,59,3.4,12,24.1
139.61,26.61,27.9,36.13,15.63,18.27,314,4,19.62,34.75,18.61,57.16,1.27,101.96,76.73,22.1,28.4,12.8,1015,54,2.9,5,13
77.62,5.6,18.61,14.28,11.91,42.17,155,2,7.18,19.33,19.48,44.91,1.17,267.58,114.06,18.6,25,11.8,1016.7,71,2.6,7.6,18.3
111.2,8.96,21.19,18.44,19.04,38.12,269,3,10.31,18.79,20.21,38.76,0.95,219.84,116.27,20.2,26,10.4,1017.7,64,2.7,6.9,11.1
109.07,10.31,19.7,18.73,16.99,43.16,262,3,9.09,16.19,20.36,42.39,1.01,199.75,126.34,21.6,26,12.5,1016.4,59,2.7,6.1,14.8
120.2,14.74,21.95,23.47,21.26,37.22,300,3,10.92,18.73,21.15,38.37,0.87,174.78,114.88,22.1,28,13.8,1014.2,58,2.7,7,14.8
88.58,10.58,33.23,24.83,16.74,29.31,193,2,8.46,16.05,23.01,29.12,1.39,159.98,105.28,21.8,28.6,12,1012.8,60,2.6,4.3,11.1
74,4.86,42.39,9.56,5.75,53.73,145,2,0.78,4.88,21.86,33.94,1.64,162.79,123.5,26.9,34,15.5,1009.2,51,2.9,5,14.8
76.59,5.19,52.41,32.03,7.74,51.6,152,2,5.31,10.56,21.53,49.24,1.48,302.94,119.87,25.6,34.1,16.6,1012.3,44,2.7,3.7,7.6
68.82,5.46,32.02,21.4,8.73,45.36,124,2,4.58,9.02,21.89,52.87,1.43,211.07,116.21,23.9,31.6,15.5,1014.1,44,3.2,10.7,25.9
97.04,5.75,19.24,14.83,9.76,43.44,221,3,6.06,13.79,21.54,63.65,1.38,261.62,121.14,25.1,32,15.4,1010.9,49,3.2,8.9,14.8
85.73,5.64,22.45,16.45,10.65,45.91,182,2,5.66,12.28,22.36,51.23,1.09,203.34,109.52,24.4,32.1,17.6,1012,55,3.5,8.9,14.8
120.84,13.74,25.56,24.59,10.91,46.83,300,3,11.26,21.85,24.02,50.66,0.73,197.77,114.37,24.2,30.4,16.2,1013.7,57,3.2,10.7,24.1
130.85,40.63,45.04,56.31,7.99,43.95,307,4,15.59,29.82,26.64,54.8,0.81,152.1,114.48,25.1,31.4,15,1013.3,53,3.5,10.7,25.9
108.75,23.05,37.75,38.52,5.72,44.04,259,3,9.78,26.69,27.62,54.77,0.86,132.63,116.23,27.1,35,16.2,1010.4,53,2.9,4.3,9.4
93.19,6.61,28.04,20.21,3.31,46.73,207,3,6.27,14.55,27.02,43.9,1.49,201.04,147.71,29.4,37,18.6,1007.4,48,3.4,4.6,14.8
83.98,6.18,27.73,19.54,5.37,50.68,176,2,4.85,6.36,25.34,41.79,1.51,254.86,149.66,31.4,39,20.2,1007.8,45,2.9,8,18.3
91.2,6.37,27.84,19.9,6.59,61.18,201,3,4.95,7.39,25.57,39.68,1.16,175.83,145.11,28.8,39.2,21,1007.6,35,3.7,12.6,27.8
80.77,6.64,28.3,20.37,6.58,57.38,165,2,5.7,9.98,25.8,38.53,1.2,187.58,147.8,27.7,34.3,17.6,1008.5,41,3.9,12.4,22.2
121.25,39.34,45.73,55.8,9.52,57.96,301,4,15.7,27.27,26.9,42.86,0.88,174.06,132.61,27.6,35,16.2,1008.8,42,3.9,5,14.8
145.91,30.6,38.53,44.96,8.69,60.25,319,4,12.74,28.94,28.75,42.62,0.91,142.24,117.76,29.2,37,17.6,1008.1,41,3.5,9.1,18.3
123.25,23.14,30.27,34.61,5.44,39.48,302,4,6.18,16.51,31.06,34.8,0.95,197.12,114.54,30.1,38,18.7,1007.2,47,3.9,5,14.8
149.3,21.55,33.06,34.82,6.84,37.69,322,4,13.63,24.18,30.61,50.94,1.19,143.89,92.95,28.7,39,20,1006.6,53,2.9,6.3,25.9
179.99,8.65,22.61,18.95,2.85,44.81,345,4,3.23,6.58,28.91,51.26,1.37,165.38,116.89,33.6,39.3,22.4,1005.6,39,3.7,6.7,14.8
80.72,5.73,26.95,18.92,5.49,67.92,165,2,5.74,13.03,30.02,42.53,1.12,120.87,123.52,30.8,37.8,22.4,1006.2,57,1.8,10.7,35.2
124.4,24.36,35.27,38.24,11.36,43.37,303,4,14.91,23.55,30.65,44.2,0.8,190.5,125.56,29.4,36,20.2,1006.5,52,2.6,5.9,18.3
101.88,13.22,25.4,23.98,9.3,39.86,235,3,4.79,14.76,31.6,35.12,1.16,163.78,121.42,30.2,37,20.4,1005.5,48,3.2,4.6,11.1
112.15,5.41,17.75,13.77,8.3,48.97,272,3,3.82,13.94,30.81,36.19,1.43,109.21,127.12,32.1,39,20,1007.2,41,3.7,7.6,16.5
91.46,5.44,20.17,15.08,9,40.73,201,3,4.23,15.1,31.14,34.22,1.7,96.19,130.43,32.6,39,23,1006.4,38,3.7,5.7,14.8
79.46,4.61,14.38,11.33,10.29,39.01,162,2,3.19,5.65,30.82,36.41,1.63,129.5,129.11,30.6,38.7,23.2,1006.9,48,3.9,7.4,18.3
94.98,6.1,19.3,15.15,10.29,36.66,211,3,2.91,6.31,31.91,31.66,1.46,183.46,134.04,31.4,38,21.6,1007.8,42,3.7,12.8,25.9
144.01,18.52,21.37,26.18,8.9,38.45,318,4,3.25,10.06,27.86,56.36,1.81,166.64,72.21,32.2,38,21.8,1006.8,40,4.5,9.8,14.8
42.67,4.54,10.59,9.19,6.08,46.52,70,1,1.05,2.71,25.79,65.67,2.61,185.04,99.94,33.6,40,25.5,1006,36,3.7,9.4,18.3
44.52,5,16.49,12.77,7.09,45.27,73,1,2.47,5.57,25.76,67.84,1.13,168.98,148.67,26,40,20.5,1009.7,63,2.9,11.3,22.2
82.26,7.59,23.74,18.7,9.84,35.67,172,2,3.39,9.82,27.62,50.28,0.92,249.84,131.46,24.3,30.7,19,1012.2,66,2.4,12.2,27.8
91.73,8.62,27.89,21.73,12.57,43.3,201,3,4.55,6.8,28.7,45.2,0.72,226.36,142.16,25.8,31,17.1,1010.4,56,3.7,7.8,16.5
92.42,20.4,32.15,33.42,11.67,41.52,204,3,5.58,12.6,29.78,39.47,0.92,232.19,137.34,27.5,32,18.2,1007.9,50,3.7,9.4,14.8
135.38,34.79,35.28,46.59,17.87,41.52,311,4,8.04,21.93,31.06,39.38,0.82,197.93,133.01,29.2,35,19.8,1005.2,46,3.4,5.7,14.8
121.12,13.94,30.41,27.32,17.6,35.44,301,4,4.71,12.57,32.05,32.83,0.9,181.16,137.96,31.1,37.2,20.6,1004,41,3.5,9.3,20.6
98.05,10.94,29.44,24.41,8.39,50.81,224,3,4.52,10.55,33.27,34.28,1.32,185.01,122.99,32.2,38,22,1004,45,2.9,5,16.5
117.57,4.92,25.17,17.32,9.24,52.37,289,3,4.97,11.22,33.75,38.5,1.48,158.07,114.54,33.8,40,22.2,1005.5,40,3.4,7.4,13
123.62,5.6,20.67,15.48,13.17,36.23,302,4,2.13,5.86,32.98,17.65,1.55,251.9,139.51,34.3,42.1,24.2,1005,36,2.9,7.8,29.4
118.07,11.58,36.3,28.57,19.41,33.19,293,3,6.63,14.28,33.55,14.18,1.34,150.58,128.76,34.8,41,25.4,1003.3,26,2.9,11.7,22.2
114.38,5.69,25.21,17.96,5.48,41.63,279,3,5.39,11.76,33.23,23.2,0.85,131.49,126.46,34.8,42,23.4,1001.8,30,3.1,8.7,18.3
78.69,3.47,16.21,11.4,4.48,44.83,159,2,2.99,6.55,30.87,34.86,1.76,98.56,129.4,34.4,43.7,24.4,999.7,39,2.6,5.4,13
91.55,5.76,19.76,15.05,5.96,28.78,201,3,2.86,6.48,31.01,30.82,1.38,210.41,149.72,33.5,41.3,25.8,1002.9,45,2.7,11.9,25.9
140.07,18.7,25.65,21.89,10.66,20.78,315,4,4.64,10.52,32.04,16.34,1.17,262.94,145.43,32.1,39.5,22.4,1005.8,37,3.4,9.4,25.9
169.79,3.29,64.85,37.13,4.9,14.58,337,4,0.07,0.34,33.38,18.51,1.2,264.2,132,33.5,41.2,21.8,1001.9,40,2.6,10.7,25.9
151.82,3.51,25.62,14.74,3.89,15.64,324,4,0.25,1.19,33.77,15.94,1.11,274.07,135.92,35.3,42,23.6,1001.2,38,2.7,11.5,24.1
138.83,4.56,33.06,21.06,4.84,32.89,314,4,2.42,5.41,31.85,29.51,1.41,241.92,120.81,36.1,42,26.4,1000.6,38,2.6,13.7,25.9
285.6,3.58,19.56,13.27,5.7,40.9,500,4,0.25,1.76,32.1,30.38,1.65,258.13,129.2,35.4,41.8,27.4,1002.2,40,3.1,12.6,20.6
193.43,4.73,20.76,14.49,11.62,32.16,356,4,0.85,2.47,32.41,28.95,0.91,188.5,105.39,33.9,41.2,24.4,1004.2,47,2.9,9.1,16.5
71.16,3.93,9.07,7.97,2.99,21.4,135,2,1.2,3.15,29.77,49.41,1.37,192.5,149.37,33.4,38.8,25.2,1003.5,49,1.8,10.6,24.1
97.34,6.39,19.4,15.43,5.3,15.84,221,3,5.31,13.54,29.6,52,1.28,137.9,108.26,33.3,40,25.4,1003.9,52,1.9,8.9,31.7
103.27,9.52,16.16,16.21,4.88,11.55,241,3,4.15,13.39,30.2,52.72,1.2,153.36,129.67,30.8,40.2,20.8,1003.9,60,3.1,5.6,14.8
155.91,9.12,13.28,14.36,5.59,25.8,327,4,3.34,9.83,29.55,55.46,1.06,179.11,121.07,29.4,36,23,1004.5,72,2.3,8,18.3
81.43,4.52,12.55,10.29,7.8,34.72,169,2,1.49,2.74,32.03,38.32,0.89,228.03,81.26,34,40,22.8,1005.6,35,2.9,10.2,20.6
103.52,14.24,13.7,18.68,11.26,46.46,241,3,3.18,7.4,31.95,40.15,0.9,192.23,117.67,35.3,41,25.2,1004.1,34,3.1,7.8,14.8
57.53,5.94,11.35,10.73,8.58,23.86,95,1,1.96,6.8,29.31,67.28,1.52,119.96,131.4,33.4,41,26.4,1002.5,44,3.1,7.6,18.3
76.36,3.85,10.82,8.83,7.04,46.15,152,2,1.34,5.19,30.51,49.57,1.61,274.46,161.45,33.7,40,25,1002.4,45,2.6,8,27.8
68.8,3.41,10.62,8.37,6.15,64.01,124,2,1.2,3.37,31.48,33.93,1.4,235.46,165.65,29.8,40.4,23.8,1003.8,60,3.2,11.1,25.9
79.77,3.62,12.48,9.54,9.59,62.34,162,2,1.41,2.81,33.44,25.48,1.27,196.04,160.76,32.5,37,24.5,1002.6,41,3.7,11.5,25.9
93.36,5.29,18.02,13.81,8.44,57.03,207,3,2.01,5.78,34.01,20.61,0.99,247.2,140.22,35.1,42,25.4,1001.5,29,3.4,10.2,20.6
100.21,9.98,20.69,18.99,9.7,44.88,231,3,2.8,7.47,35.02,21.03,0.88,217.73,134.18,34.6,42,23,1000.4,27,3.7,13.1,27.8
140.55,12.64,16.62,18.95,9.73,43.29,315,4,2.42,8.08,35.77,18.99,0.97,244.63,128.75,36.6,43,24.6,998.9,30,4,9.1,18.3
109.03,3.29,6.44,5.86,4.34,49.72,262,3,1.14,1.79,34.35,49.85,2.11,151.01,108.24,37.6,44.8,27.6,998.3,40,3.1,7.8,13
124.02,3.3,5.66,5.65,3.75,65.2,303,4,0.79,1.54,33.93,44.76,2.05,147.43,120.89,37.3,43.5,30.8,998.4,44,2.7,9.4,18.3
106.35,3.38,9.87,7.78,6.61,57.26,252,3,1.38,3.11,35.52,40.98,1.24,138.43,117.78,35.9,42.5,29.4,998.8,47,2.7,11.9,18.3
99.8,4.9,13.2,10.94,7.15,44.1,228,3,1.13,2.51,35.41,30.05,1.05,213.72,108.77,36.7,41,28.7,999.3,45,2.7,9.3,16.5
77.05,3.24,7.48,6.57,8.36,77.28,155,2,0.92,1.88,33.56,41.73,1.83,132.43,123.65,37.5,42.2,29.8,998,42,2.9,6.9,13
97.19,4.23,20.64,11.47,38.79,53.17,221,3,0.61,1.44,35.24,41.38,1.19,163.7,132.43,37.7,44,28.6,1000.7,34,3.2,7.8,16.5
117.03,6.25,18.78,9.99,2,66.62,289,3,2.11,5.34,35.81,21.89,0.7,148.93,122.46,35,43.9,26.4,1001.9,46,3.4,7,11.1
98.77,5.49,24.21,12.92,4.25,60.2,224,3,1.53,3.85,37.19,22.1,1,202.84,143.75,37.9,43,28,1000.5,36,3.1,6.7,16.5
209.63,5.96,22.94,16.97,5.77,39.33,368,4,1.04,3.38,36.39,17.88,1.13,185.09,96.87,37.4,44,27.2,996.8,34,2.7,5.6,18.3
101.91,8.73,17.38,16.23,6.5,51.92,235,3,1.02,2.85,34.67,34.02,1.98,149.87,118.85,39.2,45,27.4,995,25,2.9,6.7,14.8
89.56,4.09,11.83,9.56,2.99,54.27,196,2,0.57,1.64,34.51,42.87,1.6,192.19,123.33,38.6,45.6,30.4,995.5,28,2.1,9.6,25.9
65.91,3.85,13,9.99,3.07,59.37,114,2,0.66,1.14,35.71,30.36,1.42,290.96,134.34,36,44.5,30,998.9,42,2.7,10.9,18.3
106.24,11.47,21.98,20.87,6.73,45.68,252,3,1.52,5.14,35.1,19.52,1.16,273.03,122.73,37,41.6,29,997.8,38,3.2,9.8,18.3
86.57,3.77,6.05,6.24,4.57,37.81,186,2,0.46,1.31,32.41,52.18,1.96,301.53,86.36,37.6,44,29.2,997.1,29,3.4,11.3,24.1
84.8,4.12,5.51,6.23,3.91,27.45,179,2,0.6,1.25,31.47,56.8,1.52,294.85,52.9,37.9,43.7,27.8,997.7,28,2.9,14.4,37
72.99,4.3,6.2,6.27,3.74,41.6,138,2,0.44,1.54,29.72,61.67,1.89,132.55,136.83,31.5,43.4,28,998.7,55,3.1,14.1,22.2
56.98,3.51,1.43,2.6,4.45,61.75,93,1,0.48,1.13,31.15,50.98,1.42,175.89,137.1,28.6,35,20.6,999.8,59,3.4,12.4,22.2
69.5,3.37,3.8,4.02,6.6,68.26,128,2,1.31,4.16,31.99,50.11,1.17,141.64,94.52,32.2,37,24.2,1000.3,53,2.9,6.1,11.1
70.65,3.3,8.95,7.29,5.56,79.28,131,2,0.95,2.19,33.08,38.24,1.04,70.58,135.82,33.5,39,25.4,1000.9,50,3.5,6.7,13
55.65,3.74,28.58,18.19,6.16,65.12,91,1,0.94,2.36,32.61,48.66,1.53,146.18,125.45,35.1,39,28.2,1000.1,50,3.1,5.7,14.8
55.92,4.02,18.61,13.12,3.66,39.56,91,1,0.39,0.96,31.21,67.81,2.06,150.74,83.08,35.6,40,27.2,999.3,46,3.7,8.3,14.8
118.23,4.91,33.68,21.48,5.87,53.84,293,3,1.45,3.83,31.51,64.28,0.96,147.73,102.93,35.3,40.3,28.6,1001.2,53,3.4,8.1,18.3
86.62,6.06,21.22,10.79,6.28,36.71,186,2,3.19,7.01,33.37,50.99,1.13,195.53,124.14,32.1,40.5,27.4,1002,65,3.1,10.4,20.6
87.18,9.6,46.26,32.28,10.11,29.9,189,2,2.07,8.13,32.58,42.27,1.3,284,103.08,35.8,41,29.6,997.5,52,2.7,6.7,18.3
100.19,8.78,31.59,23.83,6.61,29.77,231,3,1.39,5.27,34.12,36.17,1.38,293.41,126.38,35.3,41.1,28.6,996.1,49,2.4,8,18.3
115.79,11.78,36.83,29.02,7.64,26.22,282,3,1.17,3.12,34.12,35.18,1.39,195.73,122.06,35.8,41.2,27.2,994.9,42,3.1,9.8,18.3
82.32,7.85,27.7,21.01,7.57,43.61,172,2,0.71,1.78,33.49,38.35,1.03,158.53,122.94,38.1,42,30,994,38,3.4,11.7,22.2
102.66,7.04,26.68,19.82,6.61,61.07,238,3,1.02,2.05,32.9,43,1.22,178,107.06,37.9,42.3,32,995.4,37,2.7,13.7,27.8
58.69,5.04,23.55,16.56,6.88,43.37,96,1,1.15,2.43,32.72,60.16,1.59,154.21,97.82,36.8,42.2,30.6,996.3,45,3.1,7.6,14.8
49.41,5.87,27.83,19.5,6.68,24.76,82,1,0.2,0.49,30.73,66.23,1.69,155.97,51.99,34.9,41.6,30,996.8,53,2.6,6.5,11.1
47.11,13.92,33.65,28.93,8.79,10.75,78,1,0.38,1.13,29.84,77.48,1.03,165.47,71.82,34.9,38.4,30.6,997.5,58,1.9,8.1,11.1
49.6,11.93,41.67,31.13,11.04,14.37,82,1,1.15,3.88,30.58,60.71,1.3,169.41,103.37,30.9,39.4,28.6,996.8,75,1.9,8.5,18.3
55.86,15.01,39.07,30.96,10.26,12.01,91,1,1.12,3.69,30.88,61.64,0.93,186.96,78.38,28.8,38.6,26.9,994.9,86,1.6,4.8,14.8
70.63,7.66,34.52,24.43,9.69,14.23,131,2,1.39,4.17,31.56,55.88,0.75,207.17,84.04,33.4,37,26.5,994.5,64,2.7,7.8,14.8
86.76,6.63,35.83,24.32,16.65,13.97,186,2,0.91,4.46,31.88,52.82,1.48,225.91,92.18,33.7,37,28.6,994.1,65,2.7,6.7,14.8
143.31,7.26,19.55,16.2,12.16,12.04,317,4,0.85,3.43,33.18,36.33,1.22,270.86,95.71,31.6,36.7,28.8,995,70,2.7,9.6,18.3
133.72,7.11,24.6,18.77,10.15,12.38,310,4,1.34,5.94,32.86,41.49,1.35,253.74,81.63,33.9,37,28.2,993.2,62,2.4,9.4,20.6
91.8,7.05,25.51,19.18,12.91,14.14,201,3,0.68,3.27,33.33,31.77,1.32,269.11,90.77,35.4,39,31,994.4,56,2.3,14.1,27.8
112.03,5.91,22.89,16.89,9.89,13.28,272,3,1.14,3.95,32.96,36.98,1.4,236.17,86.04,34.9,39.2,30.6,996.6,55,2.1,11.7,24.1
103.21,5.26,21.59,15.67,13.68,14.18,241,3,1.4,5.13,29.47,59.4,1.59,147.23,60.88,35.6,40,31.2,996.7,53,2.6,13.7,27.8
55.53,6.34,27.89,19.91,17.35,19.79,91,1,2.01,8.81,28.63,69.9,1.55,112.27,79.38,34.3,39.6,28.4,995.8,58,2.7,11.3,20.6
45.12,6.13,26.11,18.79,16.98,19.97,75,1,1.75,6.63,28.2,76.3,1.04,161.21,87.3,29.1,37.7,24,997.1,79,2.4,7.6,27.8
42.23,5.46,26.08,18.24,17.7,30.29,70,1,1.18,4.94,27.02,78.37,0.98,198.06,94.05,29.2,34.7,24,1000.2,80,2.6,8.5,14.8
73.85,14.75,32.71,29.2,9.76,43.31,141,2,1.82,8.17,28.77,60.45,0.69,188.24,131.88,27,33.4,24,1000.6,85,2.4,5.9,9.4
66.57,6.4,29.58,20.85,9.82,22.33,118,2,2.29,7.63,28.55,60.48,0.91,152.41,77.09,27,31.7,23.5,1000.6,87,2.4,4.6,9.4
68.59,8.37,33.07,24.28,10.94,25.79,124,2,3.12,12.66,28.87,66.51,1.17,149.96,97.11,31.9,36,25,1000.9,69,2.7,5.4,9.4
52.23,16.6,29.92,29.2,7.64,35.83,86,1,2.03,7.6,29.22,68.04,0.83,131.83,108.26,30.7,37,26,1001,77,2.4,5.2,27.8
66.22,10.56,24.78,21.63,9.26,53.07,118,2,2.3,10.6,30.97,57.65,0.75,134.78,85.93,30.6,36.7,25.6,1000.6,78,2.7,6.3,14.8
63.24,5.51,22.92,16.6,8.57,28.49,107,2,1.33,5.93,31.2,53.54,0.89,188.59,63.47,31.3,36.5,24.6,999.5,79,2.4,5,18.3
39,5.79,16.56,13.44,9.65,12.81,65,1,0.9,5.25,27.85,81.36,1.01,172.86,52.66,33.3,38,27.4,997.6,69,2.3,7.8,22.2
46.09,4.92,16.57,12.75,8.95,14.38,77,1,1.36,5.1,26.9,88.1,1.38,132.61,77.16,28.7,37.8,25,998.2,81,2.4,7.2,16.5
36.56,6.11,26.7,19.09,9.82,18.11,60,1,1.2,5.22,26.45,86.75,1.46,139.6,76.13,28.6,32,26.2,996.7,86,2.1,7.6,14.8
36.85,5.52,23.73,17.03,10.21,15.64,60,1,0.69,2.7,27.54,84.4,1.41,138.97,57.45,28.7,32.5,25.4,997.6,88,1.9,8.9,16.5
51.18,7.1,21.3,17.01,7.86,13.59,85,1,0.93,3.91,27.56,84.58,1.22,132.22,47.78,30.1,34,25.8,999.5,81,2.3,11.7,18.3
54.16,5.96,15.74,13.15,9.04,20.93,90,1,1.37,5.02,27.86,78.4,1.21,136.75,66.93,31.9,36,28.2,1000.4,74,2.9,9.3,14.8
48.89,4.51,12.49,10.24,9.21,22.61,80,1,0.94,3.37,28.16,71.57,1.38,161.02,87.53,31.5,36.1,27.4,999.7,74,3.4,8.9,14.8
48.29,4,12.38,9.24,2.8,16.22,80,1,1.58,6.7,27.16,81.45,1.15,158.03,49.68,31.9,35.1,27.8,999.5,73,3.2,6.7,13
51.85,33.94,17.86,32.45,8.68,12.82,85,1,3.4,14.71,26.08,84.14,0.82,143.45,59.78,32.9,37,27.8,998.5,68,3.2,7.8,13
54.77,12.66,12.95,16.2,9.15,24.41,90,1,2.4,11.59,26.87,75.91,0.87,118.46,83.23,30.9,36.9,28,998.2,76,2.6,6.9,18.3
47.76,9.94,16.75,16.24,9.46,20.62,78,1,2.37,8.62,27.64,72.01,0.75,163.81,91.34,30.1,34.6,27.4,997.9,81,2.1,7.6,18.3
45.99,11.45,14.04,16.62,10.46,23.27,75,1,3.09,11.59,26.62,71.2,0.82,134.65,78.98,31.8,37.2,27.2,994.7,77,1.9,5.2,7.6
44.28,4.68,12.27,9.82,7.24,29.14,73,1,1.28,6.55,28.16,54.1,0.96,142.81,90.82,27.2,37.4,24,995.7,95,1.9,5.2,22.2
53.57,11.07,14.54,14.13,5.3,16.15,88,1,1.01,4.16,28.36,73.18,2.13,132.06,60.9,30.9,35,25.6,995.1,77,2.4,7.2,14.8
38.41,28.34,22.69,31.95,6.38,19.8,64,1,0.43,2.08,28.92,73.39,1.47,171.47,99.93,31.5,37.9,28.4,997.4,73,3.4,15.4,27.8
40.74,4.92,12.58,10.59,2.23,16.58,67,1,0.49,1.78,27.5,86.21,0.96,218.7,69.02,31.1,34,27.2,998.6,76,2.9,11.9,22.2
41.42,6.26,14.27,12.6,3.3,24.07,68,1,1.17,6.77,26.56,79.94,0.72,173.8,79.54,31.1,36.2,28,998.9,78,2.6,6.7,11.1
