PM2.5 (ug/m3),NO (mg/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),Ozone (ug/m3),Air_Quality_Index(AQI),AQI Category,Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),T,TM,Tm,SLP,H,VV,V,VM
44,4.92,27.23,27.98,2.52,38.54,73,1,2,2.26,34.35,49.06,1.08,170.55,119,34.4,42.3,28.2,1003.5,40,1.9,10.4,27.8
49.74,8.09,38.11,42.66,2.4,23.35,82,1,3.21,3.62,34.46,62.46,0.97,126.68,71.1,33.1,39.8,26,1004.9,54,1.9,5.9,11.1
41.69,6.43,23.5,26.02,1.75,9.44,68,1,1.85,2.08,33.04,67.54,0.81,182.99,126.69,28.3,38.7,23.8,1006.5,65,2.4,7.8,14.8
69.42,50.77,37.15,76.76,3.65,21.29,128,2,5.45,6.14,32.99,61.56,0.77,194.78,106.2,29.9,35.9,22,1007.4,56,2.6,4.4,11.1
49.6,13.31,29.35,38.95,2.19,21.62,82,1,2.77,3.12,33.51,63.87,0.71,178.03,121.45,28.7,35.8,24.2,1006.5,58,1.9,7,18.3
45.31,5.48,33.23,37.35,2.04,57.67,75,1,2.65,2.99,35.04,48.99,0.73,103.62,64.75,30.1,37,22,1003.5,58,1.9,4.3,11.1
39.31,4.78,22,27,1.62,44.52,65,1,1.92,2.16,36.23,46.23,0.96,141.04,126.36,33.2,40.3,24.8,1001.1,47,2.7,8.3,11.1
57.79,7.79,44.7,49.75,2.67,48.16,95,1,3.53,3.98,36.34,49.25,0.71,118.19,100.61,35.6,42.4,28.1,1000,43,2.6,5.6,11.1
20.7,5.27,9.25,23.62,0.75,17.7,33,1,1.68,1.89,37.78,37.86,1.34,270.74,251.45,31.4,41.5,24.9,1002.2,50,1.8,14.8,50
46.33,7.96,29.38,34.65,1.96,20.4,77,1,2.46,2.77,35.8,45.67,0.94,257.28,134.47,33.2,41.5,22.4,1002,38,2.4,14.6,22.2
61.52,21.99,31.56,47.5,2.52,17.29,101,2,3.37,3.8,35.39,41.66,0.9,239.09,136.64,35.8,42.6,27,1000.4,30,2.6,11.3,24.1
46.33,11.14,27.79,34.8,2.04,20.02,77,1,2.47,2.78,36.3,38.85,0.98,236.21,130.53,36.3,43.6,27,998.2,26,2.7,12.4,18.3
60.88,7.07,26.35,30.53,1.9,28.25,100,1,2.17,2.44,35.49,33.9,0.96,171.61,123.31,37.3,44.5,29.3,996.2,29,2.7,12.8,22.2
132.54,16.2,30.62,41.84,2.33,17.25,309,4,2.97,3.35,36.14,35.42,0.86,223.11,127.37,36.2,44.5,27.5,997.3,36,2.3,5.2,14.8
84.71,7.96,26.44,31.59,1.92,17.1,179,2,2.24,2.53,35.59,31.3,0.92,226.01,129.72,37.8,45.5,28,996.7,29,2.6,10.9,22.2
70.98,6.51,27.4,31.43,1.9,34.71,131,2,2.23,2.51,33.39,31.69,1.03,259.31,140.74,35.3,45.5,24.4,999.2,33,2.3,17,55.4
117.52,27.4,31.96,52.36,2.77,27.38,289,3,3.72,4.19,33.85,37.49,0.88,218.86,117.24,33.8,45,24.8,1001.3,26,2.6,6.7,18.3
93,31.2,31.73,54.44,2.85,26.15,207,3,3.86,4.36,34.88,41.39,0.99,218.4,122,35.1,41.1,29,1000.3,37,1.9,8,31.7
36.21,12.07,27.9,37.73,2.17,22.19,60,1,2.68,3.02,34.84,41.54,0.94,228.02,129.7,35.1,42,27,1001.9,35,1.9,8,14.8
28.54,18.06,29.69,41.47,2.35,21.08,46,1,2.94,3.32,33.87,36.62,1.13,202.66,124.77,35.3,42.6,27.6,1001.8,36,1.9,9.6,25.9
16.44,5.02,18.69,25.74,1.6,37.77,37,1,1.83,2.06,29.71,30.45,1.41,154.2,86.85,35.3,40.6,28.9,1000.7,30,1.9,15.2,27.8
25.04,7.22,26.23,28.85,1.94,21.96,41,1,2.05,2.31,48.95,30.98,0.99,204.18,129.31,30.1,40.6,23.5,1002.2,47,1.9,14.3,29.4
17.94,7.52,26.4,33.04,1.88,22.35,32,1,2.35,2.64,45.11,43.7,1.01,165.36,88.75,31.6,39.9,22.2,1003.4,46,1.9,8.5,20.6
25.73,6.6,23.4,27.22,1.77,15.5,41,1,1.93,2.18,46.1,49.41,0.93,208.76,118.71,28.7,34.1,23.6,1004.3,59,1.9,6.7,11.1
50.62,9.24,32,36.58,2.08,29.46,83,1,2.6,2.93,49.26,7.49,0.73,232.14,127.57,31.8,38.6,23.7,1004.1,55,1.9,4.8,13
56.77,7.09,26.92,31.3,5.4,27.92,93,1,2.22,2.5,50.54,26.12,0.9,240.82,130.45,32.8,38.8,26,1003.5,47,1.9,5.9,18.3
51.86,9.57,30.47,36.41,6.53,50.26,85,1,2.59,2.91,52.27,26.84,0.79,225.87,131.67,33.3,38.8,25.8,1001.3,45,2.3,7.8,18.3
63.52,4.52,73.16,44.94,12.75,41.98,107,2,3.19,3.59,52.71,28.97,0.66,67.75,39.35,35.1,42.5,26,999.4,42,2.6,7.2,16.5
67.74,5.6,19.94,18.37,3.69,59.39,121,2,1.74,1.96,41.04,39.15,1.93,272.7,109.97,36.3,42.9,27.7,998.7,38,2.6,6.3,22.2
65.03,6.86,20.87,19.88,4.09,26.59,114,2,1.39,1.56,35.74,37.69,1.39,269.42,126.25,37.6,42.4,30,998.8,32,1.9,18.7,27.8
102.31,5.11,18.76,17.02,4.04,39.18,238,3,1.21,1.36,34.57,37.22,1.27,260.49,114.43,36.7,42.4,31.6,999.8,42,1.9,19.1,27.8
58.93,5.04,19.67,17.44,3.88,52.12,96,1,1.24,1.4,34.64,37.24,1.26,262.2,125.44,35.8,41.7,29.6,1000,43,2.6,18.3,29.4
75.27,7.03,22.45,20.48,3.65,48.59,148,2,1.45,1.64,32.02,36.18,1.22,204.54,111.49,35.9,41.6,29,998.5,43,2.7,12.8,22.2
62.92,17.59,39.35,37.78,4.08,10.45,104,2,2.68,3.02,27.85,34.5,0.77,193.95,39.98,31.9,41.6,28,998.8,52,2.3,9.4,14.8
75.88,4.36,20.23,17.19,1.46,169.45,201,3,1.22,1.37,33.36,36.73,0.89,231.45,134.01,27,39.7,20.5,1000.2,82,1.9,3.9,13
90.25,7.19,28.43,23.71,5.16,127.16,200,2,1.68,1.9,32.68,36.45,0.95,231.13,125.11,30.8,34.9,25.5,999.4,66,1.9,3.1,9.4
89.58,9.2,39.17,30.98,5.42,74.51,196,2,2.2,2.48,31.8,36.09,0.6,244.08,118.12,32.3,38.6,26,999.3,58,1.9,2.8,13
105.8,34.35,66.48,65.39,8.42,86.94,248,3,4.64,5.23,33.81,36.91,0.53,188.4,118.87,33.8,39.7,26.2,998.1,56,1.9,3.1,11.1
94.4,4.35,42.58,28.88,5.79,101.85,211,3,2.05,2.31,35.15,37.45,0.78,132.26,110.28,35.1,41.1,27.7,997.3,52,1.9,3,7.6
76.19,4.24,26.34,20.29,4.01,91,152,2,1.44,1.62,32.46,36.36,1.68,115.34,124.8,35.9,41.6,29,996.7,54,1.9,8.5,18.3
63.4,4.78,22.24,18.54,3.55,67.42,107,2,1.32,1.48,28.99,34.74,1.36,120.09,147.86,33,42.3,27.2,997.8,56,1.9,13,25.9
69.23,4.99,29.04,22.3,4.3,34.61,128,2,1.58,1.78,31.07,35.8,1.11,109.29,120.91,30.4,34.4,25.3,997,70,1.9,5.6,20.6
72.41,7.08,44.53,32.07,6,60.85,138,2,2.28,2.57,31.45,35.95,0.9,136.7,113.97,32.1,38.2,28.6,995.5,65,2.7,4.4,14.8
78.85,7.49,36.38,28.15,5.43,27.49,159,2,2.07,2.33,27.91,36.35,0.76,134.12,63.12,31.6,39.4,27.2,994.9,67,2.6,3.7,14.8
29.92,4.61,19.71,17.12,3.28,24.49,48,1,1.22,1.37,24.91,39.72,1.08,146.44,81.23,29.8,35.2,24.2,995.5,75,1.3,7.4,9.4
67.33,9.38,26.12,24.29,3.98,19.04,121,2,1.72,1.94,28.92,41.7,0.87,220.32,132.79,26.5,36.8,22.4,994.9,86,1.8,6.3,11.1
72.67,5.43,17.41,16.57,3.03,20.43,138,2,1.18,1.33,30.77,42.61,1.15,245.99,125.04,31.5,36.8,24,994.7,62,1.8,11.7,22.2
71.49,4.97,21.79,18.49,3.51,21.89,135,2,1.31,1.48,32.42,43.43,0.99,223.87,125.46,32.7,38,27,996.9,56,1.9,14.1,29.4
69.96,4.28,26.3,20.29,4,32.04,128,2,1.44,1.62,30.88,42.67,1.53,129.69,125.74,34.4,39,27,999.7,56,1.9,9.1,20.6
59.46,4.14,19.79,16.73,3.27,78.09,98,1,1.19,1.34,31.84,43.14,1.16,112.92,158.87,31.1,39,26.2,1004,64,1.9,11.7,18.3
61.26,5.67,29.79,23.23,4.39,32.94,101,2,1.65,1.86,29.9,42.18,0.85,153.09,110.45,31.1,36.2,27.7,1002.3,65,1.9,10,14.8
