PM2.5 (ug/m3),NO (mg/m3),NO2 (ug/m3),NOx (ppb),Benzene (ug/m3),T,TM,Tm,SLP,H,VV
72.13,11.3,10.55,15.54,0.62,18.3,25.5,13.4,1011.3,76,1
73.75,23.93,11.28,25.99,1.03,13.7,22.2,10.8,1014.3,91,0.5
96.61,51.55,22.02,53.71,2.13,14.8,21,6.8,1016.4,63,2.4
147.6,5.49,57.02,28.36,0.6,32.9,39,27.4,996.6,50,2.4
149.62,10.96,23.95,21.91,3.84,34.6,39,26,998.4,49,2.4
127.25,4.81,13.94,11.76,1.71,37.4,41,30.6,998.8,31,1.9
121.23,19.73,32.28,33.3,2.53,36.4,41.2,25.7,998.3,39,2.1
318.57,6.92,18.87,17.83,3.57,31.5,41.5,24,1000.3,60,2.6
425.98,22.55,13.4,25.7,3.39,26.9,36.7,23,1002.6,76,2.1
70.18,5.43,24.38,18.79,1.07,32.7,37.5,24.7,1002.3,55,2.4
41.62,6.2,16.29,14.31,1.47,36,40,26.6,1001.7,46,3.1
95.86,3.36,2.55,4.59,1.84,32.6,40.7,26,996.9,59,2.6
107.84,3.75,8.17,7.81,2.63,34.7,38,30.5,995.4,55,2.4
111.1,6.17,7.45,10.08,1.47,33.6,38.4,28,998.3,55,3.2
102.06,7.19,15.52,16.97,1.8,34.2,39,25.8,998.5,55,3.2
314.33,6.35,17.63,22.2,5.59,35.9,39.5,30.1,1000.1,55,2.7
443.66,6.68,19.24,23.29,5.6,35.6,40,30,1000.7,57,3.1
203.2,6.8,19.54,23.54,4.82,31.1,40.1,26,999.8,74,2.4
354.48,6.43,16.79,21.8,5.73,32.9,38.6,27,999.7,64,2.4
221.04,6.62,16.87,21.96,5.86,33.2,37.8,26.8,1000.9,63,2.6
174.37,6.75,15.54,21.42,5.18,33.8,37.5,27.6,999.5,56,2.4
492.27,7.16,21.17,24.69,4.82,34.9,39.6,29.6,999.6,61,2.4
191.44,7.74,20.01,24.32,4.68,34.4,39.4,26,998.3,63,2.3
123.18,7,17.74,22.66,4.26,30.8,39.6,25,1000.8,77,2.1
114.63,6.71,16.32,21.78,5.4,35.4,39,27.2,1000.1,61,2.6
113.63,6.94,17.44,22.56,5.68,35.4,39.7,28.2,997.2,61,2.4
117.33,7.06,18.06,22.98,4.69,32.2,39.8,25.4,995.4,73,2.3
126.12,7.24,26.41,27.38,4.77,28.4,36.6,24.4,998.1,82,2.4
117.6,6.89,18.29,22.98,5.29,29.6,32,25.7,997.6,80,2.3
130.83,7.02,19.15,23.51,7.39,30.7,34.2,24.8,996.5,78,2.1
152.48,6.85,17.39,22.46,5.67,33.2,36.2,27.9,994.8,70,2.3
146.52,7.62,13.57,19.25,5.08,33.1,36.5,28.5,996.2,67,2.3
183.99,6.82,8,12.06,5.37,33.6,36.7,28.8,996.7,66,5.8
104.9,6.9,7.63,11.95,5.05,30.7,36.9,28.8,996.8,78,2.3
125.09,6.31,7.05,11.17,3.4,33.3,37,27.8,996.2,68,2.6
148.25,17.36,11.09,25.43,11.98,32.6,36.8,28.8,995.4,69,2.4
83.12,8.96,11.91,17.92,1.43,31.6,36.7,28.7,997.1,74,2.3
552.34,12.06,12.78,20.86,3.44,30.6,35,28.6,998.4,81,2.4
551.62,28.09,19.52,37.26,2.56,31.1,34.2,27.8,997.8,78,2.6
61.56,12.53,15.63,22.74,3.98,30.4,35.4,26.7,997.8,82,2.1
45.82,5.87,6.46,12.54,4.96,31,35.2,26,997.9,80,2.4
428.17,5.79,6.26,12.06,4.23,27.1,32.7,24.6,999.5,95,1.9
65.37,7.24,8.14,14.49,3.83,28.1,30,26.2,1000.7,87,2.3
57.95,9.11,10.46,17.29,5.49,27.6,31.2,25,1000,93,1.9
118.2,8.45,15.81,19.48,3.07,32.4,35.2,26.2,999,72,2.9
73.4,7.25,8.63,14.87,3.94,34.1,37,28.5,998.5,63,3.2
106.32,6.82,9.17,14.79,4.67,34.1,37.5,29.5,998.6,59,3.2
50.25,7.84,14.89,18.25,1.68,31.9,37.3,28.4,1000.8,69,2.9
89.95,10.22,13.41,19.66,1.98,31.4,35,28.4,1001.8,75,2.3
70.73,8.75,12.2,18.09,2.71,31.9,35,28.3,1001.3,72,2.1
49.84,6.86,8.88,14.67,16.21,30.3,35,27.6,1002.6,83,2.3
47.27,10.86,9.69,17.12,1.45,27.5,33.5,26,1000.4,93,1.4
54.51,6.51,8.07,12.82,2.5,29.1,32.6,26.4,998.6,85,1.8
73.31,8.5,12.1,16.47,1.34,30.9,35,26,997.4,73,2.6
116.15,11.54,11.34,18.51,1.77,32.6,36,26.2,997.8,66,3.4
51.93,6.26,15.3,16.38,3.27,33.4,37,28.5,998.1,65,3.2
52.11,7.25,24.77,22.14,1.4,33.7,37,28.6,999,65,3.2
51.98,6.3,10.75,14.06,2.15,30,36.7,27.6,1000.1,78,2.3
51.94,6.4,8.71,13.01,2.22,33.3,36,26.4,999.7,67,3.2
49.27,5.74,8.74,12.53,2.93,33.4,36.5,28.6,999.9,66,2.9
48.32,7.12,10.36,14.48,1.65,31.2,36.7,28,997.8,75,2.7
49.68,6.75,14.9,16.58,1.96,31.4,35.5,27.5,999,74,2.6
53.41,7.75,11.04,15.56,26.13,28.1,35.3,26.4,1001.3,90,1.6
47.9,9.78,15.53,19.33,7,28.9,33,26.2,1001.1,86,1.6
72.74,12.75,23.38,19.96,5.15,31.3,34.5,27,997.6,71,3.2
66.89,9.7,19.72,20.14,6.29,31.1,35,26.4,996.7,69,2.9
73.32,8.37,49.95,37.53,5.75,29.8,35.2,26.4,998.7,75,2.7
65.72,7.13,21.68,21.55,4.98,29.6,33,26.4,998.9,82,1.8
59.71,8.63,20.94,22.2,4.25,31.7,34,26.4,999,71,2.6
49.14,3.65,21.5,18.3,2.83,32.6,36,27.6,999.6,70,2.7
43.63,7.48,20.82,20.03,2.41,31.2,35.9,26.1,1000.4,71,3.2
47.15,6.08,23.9,19.71,4.96,31.6,35.4,26.1,1002.4,69,2.9
53.09,3.44,23.27,19.12,3.5,31.4,35.5,27.7,1002,72,3.2
47.99,3.79,23.95,19.85,2.66,29.9,33.7,28,1002.7,81,2.3
